id,year,total_citations
W2104082080,1993,0
W2010783983,1993,0
W2079380280,1993,21
W2117616757,1993,13
W2121925785,1993,5
W2185062867,1993,0
W4230598405,1993,0
W4239641686,1993,0
W2120835680,1993,3
W2171555216,1993,2
W2294748468,1993,2
W2159756583,1993,0
W4256306493,1993,2
W2126485681,1993,4
W2096125052,1993,2
W2124294125,1993,3
W2101990964,1993,16
W2153797770,1993,2
W2170100090,1993,13
W2125944019,1993,22
W2143967859,1993,7
W2141495476,1993,0
W2113623008,1993,7
W2039900864,1993,0
W2120683899,1993,11
W4241437704,1993,0
W4254180709,1993,4
W2140793785,1993,0
W2051717600,1993,8
W2127831599,1993,3
W2107666439,1993,35
W2163426841,1993,0
W2116749829,1993,1
W2113841613,1993,1
W2024607104,1993,0
W2095363539,1993,1
W2169569824,1993,0
W2123762540,1993,2
W1775037830,1993,0
W4247702446,1993,0
W4239468530,1993,0
W2110004896,1993,1
W1984245013,1993,4
W2109241830,1993,5
W2140624418,1993,0
W2151228210,1993,3
W1966856516,1993,0
W2118865530,1993,1
W2151475658,1993,6
W2129129667,1992,4
W4237402756,1992,16
W4248054006,1992,13
W2133861655,1992,1
W4236083265,1992,29
W4246560761,1992,4
W2122089115,1992,6
W2158328065,1992,1
W2160946550,1992,7
W2121801675,1992,3
W2151631470,1992,5
W2098819183,1992,11
W2092640130,1992,9
W2153280911,1991,4
W2125975474,1991,3
W2113864904,1991,1
W2131275470,1991,3
W2114975239,1991,15
W2142111080,1990,1
W3041520455,1990,9
W2083909211,1990,5
